MSA/MD FIPS CODE NO. ,MSA/MD NAME,2015 MSA/MD MED* FAMILY INCOME
23580,"GAINESVILLE, GA",58558
23844,"GARY, IN",64075
23900,"GETTYSBURG, PA",70344
24020,"GLENS FALLS, NY",64495
24140,"GOLDSBORO, NC",50552
24220,"GRAND FORKS, ND-MN",70827
24260,"GRAND ISLAND, NE",58820
24300,"GRAND JUNCTION, CO",60676
24340,"GRAND RAPIDS-WYOMING, MI",65342
24420,"GRANTS PASS, OR",46452
24500,"GREAT FALLS, MT",58102
24540,"GREELEY, CO",70457
24580,"GREEN BAY, WI",67666
24660,"GREENSBORO-HIGH POINT, NC",55218
24780,"GREENVILLE, NC",56239
24860,"GREENVILLE-ANDERSON-MAULDIN, SC",58097
25020,"GUAYAMA, PR",17448
25060,"GULFPORT-BILOXI-PASCAGOULA, MS",52846
25180,"HAGERSTOWN-MARTINSBURG, MD-WV",65716
25220,"HAMMOND, LA",52864
25260,"HANFORD-CORCORAN, CA",49735
25420,"HARRISBURG-CARLISLE, PA",71723
25500,"HARRISONBURG, VA",60539
25540,"HARTFORD-WEST HARTFORD-EAST HARTFORD, CT",88016
25620,"HATTIESBURG, MS",53263
25860,"HICKORY-LENOIR-MORGANTON, NC",51281
25940,"HILTON HEAD ISLAND-BLUFFTON-BEAUFORT, SC",63345
25980,"HINESVILLE, GA",47693
26140,"HOMOSASSA SPRINGS, FL",47829
26300,"HOT SPRINGS, AR",49707
26380,"HOUMA-THIBODAUX, LA",58164
26420,"HOUSTON-THE WOODLANDS-SUGAR LAND, TX",69373
26580,"HUNTINGTON-ASHLAND, WV-KY-OH",55040
26620,"HUNTSVILLE, AL",72576
26820,"IDAHO FALLS, ID",57604
26900,"INDIANAPOLIS-CARMEL-ANDERSON, IN",66803
26980,"IOWA CITY, IA",81027
27060,"ITHACA, NY",74524
27100,"JACKSON, MI",58432
27140,"JACKSON, MS",56700
27180,"JACKSON, TN",53433
27260,"JACKSONVILLE, FL",64042
27340,"JACKSONVILLE, NC",51012
27500,"JANESVILLE-BELOIT, WI",60820
27620,"JEFFERSON CITY, MO",62292
27740,"JOHNSON CITY, TN",50296
27780,"JOHNSTOWN, PA",55933
27860,"JONESBORO, AR",49928
27900,"JOPLIN, MO",51752
27980,"KAHULUI-WAILUKU-LAHAINA, HI",76193
28020,"KALAMAZOO-PORTAGE, MI",61149
28100,"KANKAKEE, IL",63716
28140,"KANSAS CITY, MO-KS",72623
28420,"KENNEWICK-RICHLAND, WA",66500
28660,"KILLEEN-TEMPLE, TX",58001
28700,"KINGSPORT-BRISTOL-BRISTOL, TN-VA",51210
28740,"KINGSTON, NY",74546
28940,"KNOXVILLE, TN",59210
29020,"KOKOMO, IN",59111
29100,"LA CROSSE-ONALASKA, WI-MN",68531
29180,"LAFAYETTE, LA",59988
29200,"LAFAYETTE-WEST LAFAYETTE, IN",62506
29340,"LAKE CHARLES, LA",57618
29404,"LAKE COUNTY-KENOSHA COUNTY, IL-WI",87137
29420,"LAKE HAVASU CITY-KINGMAN, AZ",46268
29460,"LAKELAND-WINTER HAVEN, FL",50986
29540,"LANCASTER, PA",68937
29620,"LANSING-EAST LANSING, MI",66143
29700,"LAREDO, TX",41922
29740,"LAS CRUCES, NM",45044
29820,"LAS VEGAS-HENDERSON-PARADISE, NV",59993
29940,"LAWRENCE, KS",72755
30020,"LAWTON, OK",57051
30140,"LEBANON, PA",65676
30300,"LEWISTON, ID-WA",58484
30340,"LEWISTON-AUBURN, ME",60363
30460,"LEXINGTON-FAYETTE, KY",66800
30620,"LIMA, OH",56195
30700,"LINCOLN, NE",70200
30780,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR",61339
30860,"LOGAN, UT-ID",59129
30980,"LONGVIEW, TX",56689
31020,"LONGVIEW, WA",57938
31084,"LOS ANGELES-LONG BEACH-GLENDALE, CA",62703
31140,"LOUISVILLE/JEFFERSON COUNTY, KY-IN",64777
31180,"LUBBOCK, TX",57914
31340,"LYNCHBURG, VA",60256
31420,"MACON-BIBB COUNTY, GA",51727
31460,"MADERA, CA",49272
31540,"MADISON, WI",81321
31700,"MANCHESTER-NASHUA, NH",85966
31740,"MANHATTAN, KS",67332
31860,"MANKATO-NORTH MANKATO, MN",71814
31900,"MANSFIELD, OH",54044
32420,"MAYAGÜEZ, PR",21434
32580,"MCALLEN-EDINBURG-MISSION, TX",37529
32780,"MEDFORD, OR",53441
32820,"MEMPHIS, TN-MS-AR",58186
32900,"MERCED, CA",46793
33124,"MIAMI-MIAMI BEACH-KENDALL, FL",49264
33140,"MICHIGAN CITY-LA PORTE, IN",58424
33220,"MIDLAND, MI",67138
33260,"MIDLAND, TX",82297
33340,"MILWAUKEE-WAUKESHA-WEST ALLIS, WI",71764
33460,"MINNEAPOLIS-ST. PAUL-BLOOMINGTON, MN-WI",85636
33540,"MISSOULA, MT",65463
33660,"MOBILE, AL",54215
33700,"MODESTO, CA",55611
33740,"MONROE, LA",50145
33780,"MONROE, MI",67811
33860,"MONTGOMERY, AL",59161
33874,"MONTGOMERY COUNTY-BUCKS COUNTY-CHESTER COUNTY, PA",99939
34060,"MORGANTOWN, WV",63745
34100,"MORRISTOWN, TN",49373
34580,"MOUNT VERNON-ANACORTES, WA",65272
34620,"MUNCIE, IN",51935
34740,"MUSKEGON, MI",52263
34820,"MYRTLE BEACH-CONWAY-NORTH MYRTLE BEACH, SC-NC",53695
34900,"NAPA, CA",80921
34940,"NAPLES-IMMOKALEE-MARCO ISLAND, FL",66264
34980,"NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN, TN",66404
35004,"NASSAU COUNTY-SUFFOLK COUNTY, NY",108193
35084,"NEWARK, NJ-PA",95579
35100,"NEW BERN, NC",55158
35300,"NEW HAVEN-MILFORD, CT",80739
35380,"NEW ORLEANS-METAIRIE, LA",61124
35614,"NEW YORK-JERSEY CITY-WHITE PLAINS, NY-NJ",72047
35660,"NILES-BENTON HARBOR, MI",57640
35840,"NORTH PORT-SARASOTA-BRADENTON, FL",62814
35980,"NORWICH-NEW LONDON, CT",82349
36084,"OAKLAND-HAYWARD-BERKELEY, CA",93822
36100,"OCALA, FL",48128
36140,"OCEAN CITY, NJ",74509
36220,"ODESSA, TX",64450
36260,"OGDEN-CLEARFIELD, UT",71742
36420,"OKLAHOMA CITY, OK",64058
36500,"OLYMPIA-TUMWATER, WA",74420
36540,"OMAHA-COUNCIL BLUFFS, NE-IA",73632
36740,"ORLANDO-KISSIMMEE-SANFORD, FL",57304
36780,"OSHKOSH-NEENAH, WI",67477
36980,"OWENSBORO, KY",58106
37100,"OXNARD-THOUSAND OAKS-VENTURA, CA",86766
37340,"PALM BAY-MELBOURNE-TITUSVILLE, FL",60408
37460,"PANAMA CITY, FL",56988
37620,"PARKERSBURG-VIENNA, WV",51552
37860,"PENSACOLA-FERRY PASS-BRENT, FL",60705
37900,"PEORIA, IL",69329
37964,"PHILADELPHIA, PA",56411
38060,"PHOENIX-MESA-SCOTTSDALE, AZ",63686
38220,"PINE BLUFF, AR",47667
38300,"PITTSBURGH, PA",69624
38340,"PITTSFIELD, MA",66604
38540,"POCATELLO, ID",57327
38660,"PONCE, PR",19046
38860,"PORTLAND-SOUTH PORTLAND, ME",74701
38900,"PORTLAND-VANCOUVER-HILLSBORO, OR-WA",73089
38940,"PORT ST. LUCIE, FL",56570
39140,"PRESCOTT, AZ",54475
39300,"PROVIDENCE-WARWICK, RI-MA",73950
39340,"PROVO-OREM, UT",67248
39380,"PUEBLO, CO",51986
39460,"PUNTA GORDA, FL",54478
39540,"RACINE, WI",68728
39580,"RALEIGH, NC",78057
39660,"RAPID CITY, SD",63776
39740,"READING, PA",67696
39820,"REDDING, CA",55749
39900,"RENO, NV",65722
40060,"RICHMOND, VA",75126
40140,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA",61507
40220,"ROANOKE, VA",61791
40340,"ROCHESTER, MN",81036
40380,"ROCHESTER, NY",67757
40420,"ROCKFORD, IL",60048
40484,"ROCKINGHAM COUNTY-STRAFFORD COUNTY, NH",90150
40580,"ROCKY MOUNT, NC",48812
40660,"ROME, GA",51379
40900,"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA",71829
40980,"SAGINAW, MI",54210
41060,"ST. CLOUD, MN",69359
41100,"ST. GEORGE, UT",58145
41140,"ST. JOSEPH, MO-KS",59820
41180,"ST. LOUIS, MO-IL",70718
41420,"SALEM, OR",58033
41500,"SALINAS, CA",62441
41540,"SALISBURY, MD-DE",63091
41620,"SALT LAKE CITY, UT",71849
41660,"SAN ANGELO, TX",59830
41700,"SAN ANTONIO-NEW BRAUNFELS, TX",62228
41740,"SAN DIEGO-CARLSBAD, CA",75179
41884,"SAN FRANCISCO-REDWOOD CITY-SOUTH SAN FRANCISCO, CA",103742
41900,"SAN GERMÁN, PR",19414
41940,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA",107126
41980,"SAN JUAN-CAROLINA-CAGUAS, PR",25617
42020,"SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE, CA",76771
42034,"SAN RAFAEL, CA",121130
42100,"SANTA CRUZ-WATSONVILLE, CA",81912
42140,"SANTA FE, NM",64734
42200,"SANTA MARIA-SANTA BARBARA, CA",74824
42220,"SANTA ROSA, CA",77587
42340,"SAVANNAH, GA",61754
42540,"SCRANTON--WILKES-BARRE--HAZLETON, PA",59887
42644,"SEATTLE-BELLEVUE-EVERETT, WA",92317
42680,"SEBASTIAN-VERO BEACH, FL",58448
42700,"SEBRING, FL",42321
43100,"SHEBOYGAN, WI",66599
43300,"SHERMAN-DENISON, TX",60873
43340,"SHREVEPORT-BOSSIER CITY, LA",56158
43420,"SIERRA VISTA-DOUGLAS, AZ",55471
43524,"SILVER SPRING-FREDERICK-ROCKVILLE, MD",112655
43580,"SIOUX CITY, IA-NE-SD",60974
43620,"SIOUX FALLS, SD",72948
43780,"SOUTH BEND-MISHAWAKA, IN-MI",57692
43900,"SPARTANBURG, SC",52792
44060,"SPOKANE-SPOKANE VALLEY, WA",61864
44100,"SPRINGFIELD, IL",73402
44140,"SPRINGFIELD, MA",67381
44180,"SPRINGFIELD, MO",54948
44220,"SPRINGFIELD, OH",55198
44300,"STATE COLLEGE, PA",74118
44420,"STAUNTON-WAYNESBORO, VA",60603
44700,"STOCKTON-LODI, CA",59946
44940,"SUMTER, SC",49962
45060,"SYRACUSE, NY",68468
45104,"TACOMA-LAKEWOOD, WA",71304
45220,"TALLAHASSEE, FL",64055
45300,"TAMPA-ST. PETERSBURG-CLEARWATER, FL",58916
45460,"TERRE HAUTE, IN",53828
45500,"TEXARKANA, TX-AR",51151
45540,"THE VILLAGES, FL",60099
45780,"TOLEDO, OH",60528
45820,"TOPEKA, KS",64984
45940,"TRENTON, NJ",94908
46060,"TUCSON, AZ",57457
46140,"TULSA, OK",61182
46220,"TUSCALOOSA, AL",56265
46340,"TYLER, TX",57823
46520,"URBAN HONOLULU, HI",86366
46540,"UTICA-ROME, NY",61239
46660,"VALDOSTA, GA",47592
46700,"VALLEJO-FAIRFIELD, CA",77061
47020,"VICTORIA, TX",60302
47220,"VINELAND-BRIDGETON, NJ",57550
47260,"VIRGINIA BEACH-NORFOLK-NEWPORT NEWS, VA-NC",70501
47300,"VISALIA-PORTERVILLE, CA",44814
47380,"WACO, TX",54026
47460,"WALLA WALLA, WA",61619
47580,"WARNER ROBINS, GA",61022
47664,"WARREN-TROY-FARMINGTON HILLS, MI",76739
47894,"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV",106762
47940,"WATERLOO-CEDAR FALLS, IA",65749
48060,"WATERTOWN-FORT DRUM, NY",57300
48140,"WAUSAU, WI",66112
48260,"WEIRTON-STEUBENVILLE, WV-OH",52770
48300,"WENATCHEE, WA",60276
48424,"WEST PALM BEACH-BOCA RATON-DELRAY BEACH, FL",65914
48540,"WHEELING, WV-OH",56853
48620,"WICHITA, KS",64897
48660,"WICHITA FALLS, TX",57690
48700,"WILLIAMSPORT, PA",60191
48864,"WILMINGTON, DE-MD-NJ",80707
