MSA/MD FIPS CODE NO. ,MSA/MD NAME,2010 MSA/MD MED* FAMILY INCOME
10180,"ABILENE, TX",52886
10380,"AGUADILLA-ISABELA, PR",16032
10420,"AKRON, OH",62882
10500,"ALBANY, GA",46021
10540,"ALBANY, OR",55320
10580,"ALBANY-SCHENECTADY-TROY, NY",74739
10740,"ALBUQUERQUE, NM",59381
10780,"ALEXANDRIA, LA",50565
10900,"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",68935
11020,"ALTOONA, PA",53166
11100,"AMARILLO, TX",57439
11180,"AMES, IA",74278
11244,"ANAHEIM-SANTA ANA-IRVINE, CA",83735
11260,"ANCHORAGE, AK",82861
11460,"ANN ARBOR, MI",82184
11500,"ANNISTON-OXFORD-JACKSONVILLE, AL",49532
11540,"APPLETON, WI",69972
11640,"ARECIBO, PR",18266
11700,"ASHEVILLE, NC",55018
12020,"ATHENS-CLARKE COUNTY, GA",57573
12060,"ATLANTA-SANDY SPRINGS-ROSWELL, GA",67374
12100,"ATLANTIC CITY-HAMMONTON, NJ",66920
12220,"AUBURN-OPELIKA, AL",59112
12260,"AUGUSTA-RICHMOND COUNTY, GA-SC",54820
12420,"AUSTIN-ROUND ROCK, TX",71602
12540,"BAKERSFIELD, CA",51311
12580,"BALTIMORE-COLUMBIA-TOWSON, MD",81788
12620,"BANGOR, ME",54271
12700,"BARNSTABLE TOWN, MA",75056
12940,"BATON ROUGE, LA",60727
12980,"BATTLE CREEK, MI",52533
13020,"BAY CITY, MI",53824
13140,"BEAUMONT-PORT ARTHUR, TX",54600
13220,"BECKLEY, WV",47012
13380,"BELLINGHAM, WA",64586
13460,"BEND-REDMOND, OR",61605
13740,"BILLINGS, MT",61572
13780,"BINGHAMTON, NY",58258
13820,"BIRMINGHAM-HOOVER, AL",59532
13900,"BISMARCK, ND",67178
13980,"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA",56273
14010,"BLOOMINGTON, IL",74930
14020,"BLOOMINGTON, IN",58386
14100,"BLOOMSBURG-BERWICK, PA",53664
14260,"BOISE CITY, ID",59649
14454,"BOSTON, MA",83664
14500,"BOULDER, CO",87860
14540,"BOWLING GREEN, KY",51720
14740,"BREMERTON-SILVERDALE, WA",71065
14860,"BRIDGEPORT-STAMFORD-NORWALK, CT",100593
15180,"BROWNSVILLE-HARLINGEN, TX",33770
15260,"BRUNSWICK, GA",57734
15380,"BUFFALO-CHEEKTOWAGA-NIAGARA FALLS, NY",62530
15500,"BURLINGTON, NC",52806
15540,"BURLINGTON-SOUTH BURLINGTON, VT",72928
15680,"CALIFORNIA-LEXINGTON PARK, MD",89385
15764,"CAMBRIDGE-NEWTON-FRAMINGHAM, MA",90625
15804,"CAMDEN, NJ",83092
15940,"CANTON-MASSILLON, OH",55645
15980,"CAPE CORAL-FORT MYERS, FL",58950
16020,"CAPE GIRARDEAU, MO-IL",51873
16060,"CARBONDALE-MARION, IL",50689
16180,"CARSON CITY, NV",65389
16220,"CASPER, WY",62859
16300,"CEDAR RAPIDS, IA",67971
16540,"CHAMBERSBURG-WAYNESBORO, PA",61410
