MSA/MD FIPS CODE NO. ,MSA/MD NAME,2010 MSA/MD MED* FAMILY INCOME
16580,"CHAMPAIGN-URBANA, IL",65521
16620,"CHARLESTON, WV",52702
16700,"CHARLESTON-NORTH CHARLESTON, SC",60579
16740,"CHARLOTTE-CONCORD-GASTONIA, NC-SC",61974
16820,"CHARLOTTESVILLE, VA",70998
16860,"CHATTANOOGA, TN-GA",54527
16940,"CHEYENNE, WY",64589
16974,"CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS, IL",72196
17020,"CHICO, CA",54924
17140,"CINCINNATI, OH-KY-IN",67016
17300,"CLARKSVILLE, TN-KY",51407
17420,"CLEVELAND, TN",48121
17460,"CLEVELAND-ELYRIA, OH",62627
17660,"COEUR D'ALENE, ID",55840
17780,"COLLEGE STATION-BRYAN, TX",56053
17820,"COLORADO SPRINGS, CO",68800
17860,"COLUMBIA, MO",64616
17900,"COLUMBIA, SC",60605
17980,"COLUMBUS, GA-AL",51200
18020,"COLUMBUS, IN",64024
18140,"COLUMBUS, OH",64914
18580,"CORPUS CHRISTI, TX",52664
18700,"CORVALLIS, OR",71763
18880,"CRESTVIEW-FORT WALTON BEACH-DESTIN, FL",62453
19060,"CUMBERLAND, MD-WV",51522
19124,"DALLAS-PLANO-IRVING, TX",67175
19140,"DALTON, GA",47949
19180,"DANVILLE, IL",49429
19300,"DAPHNE-FAIRHOPE-FOLEY, AL",58429
19340,"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL",61723
19380,"DAYTON, OH",60009
19460,"DECATUR, AL",52988
19500,"DECATUR, IL",57570
19660,"DELTONA-DAYTONA BEACH-ORMOND BEACH, FL",55217
19740,"DENVER-AURORA-LAKEWOOD, CO",75101
19780,"DES MOINES-WEST DES MOINES, IA",71705
19804,"DETROIT-DEARBORN-LIVONIA, MI",52946
20020,"DOTHAN, AL",48288
20100,"DOVER, DE",60949
20220,"DUBUQUE, IA",61138
20260,"DULUTH, MN-WI",59812
20500,"DURHAM-CHAPEL HILL, NC",65660
20524,"DUTCHESS COUNTY-PUTNAM COUNTY, NY",86488
20700,"EAST STROUDSBURG, PA",64763
20740,"EAU CLAIRE, WI",62064
20940,"EL CENTRO, CA",43490
20994,"ELGIN, IL",76576
21060,"ELIZABETHTOWN-FORT KNOX, KY",53414
21140,"ELKHART-GOSHEN, IN",53742
21300,"ELMIRA, NY",55246
21340,"EL PASO, TX",40255
21420,"ENID, OK",50152
21500,"ERIE, PA",56144
21660,"EUGENE, OR",55817
21780,"EVANSVILLE, IN-KY",60794
21820,"FAIRBANKS, AK",79913
22020,"FARGO, ND-MN",67695
22140,"FARMINGTON, NM",53540
22180,"FAYETTEVILLE, NC",50347
22220,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO",54186
22380,"FLAGSTAFF, AZ",58841
22420,"FLINT, MI",54072
22500,"FLORENCE, SC",48118
22520,"FLORENCE-MUSCLE SHOALS, AL",51415
22540,"FOND DU LAC, WI",64173
22660,"FORT COLLINS, CO",73771
22744,"FORT LAUDERDALE-POMPANO BEACH-DEERFIELD BEACH, FL",62619
22900,"FORT SMITH, AR-OK",46436
23060,"FORT WAYNE, IN",60235
23104,"FORT WORTH-ARLINGTON, TX",64976
23420,"FRESNO, CA",52306
23460,"GADSDEN, AL",44706
23540,"GAINESVILLE, FL",59911
23580,"GAINESVILLE, GA",57774
23844,"GARY, IN",62512
23900,"GETTYSBURG, PA",66222
24020,"GLENS FALLS, NY",60649
24140,"GOLDSBORO, NC",49504
24220,"GRAND FORKS, ND-MN",64258
24260,"GRAND ISLAND, NE",54801
24300,"GRAND JUNCTION, CO",63049
24340,"GRAND RAPIDS-WYOMING, MI",61182
24420,"GRANTS PASS, OR",48180
24500,"GREAT FALLS, MT",53540
24540,"GREELEY, CO",64996
24580,"GREEN BAY, WI",64441
24660,"GREENSBORO-HIGH POINT, NC",55362
24780,"GREENVILLE, NC",53432
24860,"GREENVILLE-ANDERSON-MAULDIN, SC",54957
25020,"GUAYAMA, PR",19275
25060,"GULFPORT-BILOXI-PASCAGOULA, MS",54001
25180,"HAGERSTOWN-MARTINSBURG, MD-WV",64313
25220,"HAMMOND, LA",50438
25260,"HANFORD-CORCORAN, CA",53498
25420,"HARRISBURG-CARLISLE, PA",69389
25500,"HARRISONBURG, VA",57078
25540,"HARTFORD-WEST HARTFORD-EAST HARTFORD, CT",82299
25620,"HATTIESBURG, MS",50693
25860,"HICKORY-LENOIR-MORGANTON, NC",50289
25940,"HILTON HEAD ISLAND-BLUFFTON-BEAUFORT, SC",61904
25980,"HINESVILLE, GA",46764
26140,"HOMOSASSA SPRINGS, FL",45568
26300,"HOT SPRINGS, AR",45745
26380,"HOUMA-THIBODAUX, LA",56853
26420,"HOUSTON-THE WOODLANDS-SUGAR LAND, TX",63898
26580,"HUNTINGTON-ASHLAND, WV-KY-OH",49772
26620,"HUNTSVILLE, AL",67829
26820,"IDAHO FALLS, ID",57581
26900,"INDIANAPOLIS-CARMEL-ANDERSON, IN",64663
26980,"IOWA CITY, IA",71168
27060,"ITHACA, NY",72231
27100,"JACKSON, MI",56314
27140,"JACKSON, MS",54643
27180,"JACKSON, TN",50182
27260,"JACKSONVILLE, FL",63927
27340,"JACKSONVILLE, NC",48380
27500,"JANESVILLE-BELOIT, WI",61165
27620,"JEFFERSON CITY, MO",62891
27740,"JOHNSON CITY, TN",47017
27780,"JOHNSTOWN, PA",50900
27860,"JONESBORO, AR",49796
27900,"JOPLIN, MO",46381
27980,"KAHULUI-WAILUKU-LAHAINA, HI",74307
28020,"KALAMAZOO-PORTAGE, MI",59481
28100,"KANKAKEE, IL",59998
28140,"KANSAS CITY, MO-KS",68846
28420,"KENNEWICK-RICHLAND, WA",63929
28660,"KILLEEN-TEMPLE, TX",54774
28700,"KINGSPORT-BRISTOL-BRISTOL, TN-VA",48038
28740,"KINGSTON, NY",70513
28940,"KNOXVILLE, TN",56103
29020,"KOKOMO, IN",55479
29100,"LA CROSSE-ONALASKA, WI-MN",65427
29180,"LAFAYETTE, LA",53833
29200,"LAFAYETTE-WEST LAFAYETTE, IN",60301
29340,"LAKE CHARLES, LA",54491
29404,"LAKE COUNTY-KENOSHA COUNTY, IL-WI",86241
29420,"LAKE HAVASU CITY-KINGMAN, AZ",47530
29460,"LAKELAND-WINTER HAVEN, FL",51395
29540,"LANCASTER, PA",64672
29620,"LANSING-EAST LANSING, MI",64523
29700,"LAREDO, TX",38521
29740,"LAS CRUCES, NM",43184
29820,"LAS VEGAS-HENDERSON-PARADISE, NV",63888
29940,"LAWRENCE, KS",68282
30020,"LAWTON, OK",50410
30140,"LEBANON, PA",62174
30300,"LEWISTON, ID-WA",54262
30340,"LEWISTON-AUBURN, ME",55045
30460,"LEXINGTON-FAYETTE, KY",63242
30620,"LIMA, OH",55549
30700,"LINCOLN, NE",66851
30780,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR",58911
30860,"LOGAN, UT-ID",54558
30980,"LONGVIEW, TX",54648
31020,"LONGVIEW, WA",55002
31084,"LOS ANGELES-LONG BEACH-GLENDALE, CA",61622
31140,"LOUISVILLE/JEFFERSON COUNTY, KY-IN",60164
31180,"LUBBOCK, TX",53722
31340,"LYNCHBURG, VA",56509
31420,"MACON-BIBB COUNTY, GA",53330
31460,"MADERA, CA",51115
31540,"MADISON, WI",76735
31700,"MANCHESTER-NASHUA, NH",81794
31740,"MANHATTAN, KS",59787
31860,"MANKATO-NORTH MANKATO, MN",66038
31900,"MANSFIELD, OH",54637
32420,"MAYAGÜEZ, PR",18996
32580,"MCALLEN-EDINBURG-MISSION, TX",34106
32780,"MEDFORD, OR",53739
32820,"MEMPHIS, TN-MS-AR",56100
32900,"MERCED, CA",47924
33124,"MIAMI-MIAMI BEACH-KENDALL, FL",50065
33140,"MICHIGAN CITY-LA PORTE, IN",56679
33220,"MIDLAND, MI",63299
33260,"MIDLAND, TX",63946
33340,"MILWAUKEE-WAUKESHA-WEST ALLIS, WI",68787
33460,"MINNEAPOLIS-ST. PAUL-BLOOMINGTON, MN-WI",79301
33540,"MISSOULA, MT",58302
33660,"MOBILE, AL",49900
33700,"MODESTO, CA",57433
33740,"MONROE, LA",49645
33780,"MONROE, MI",66549
33860,"MONTGOMERY, AL",58143
33874,"MONTGOMERY COUNTY-BUCKS COUNTY-CHESTER COUNTY, PA",93721
34060,"MORGANTOWN, WV",56147
34100,"MORRISTOWN, TN",48565
34580,"MOUNT VERNON-ANACORTES, WA",63468
34620,"MUNCIE, IN",51394
34740,"MUSKEGON, MI",50101
34820,"MYRTLE BEACH-CONWAY-NORTH MYRTLE BEACH, SC-NC",52253
34900,"NAPA, CA",80030
34940,"NAPLES-IMMOKALEE-MARCO ISLAND, FL",68556
34980,"NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN, TN",62315
35004,"NASSAU COUNTY-SUFFOLK COUNTY, NY",101543
35084,"NEWARK, NJ-PA",90123
35100,"NEW BERN, NC",52270
35300,"NEW HAVEN-MILFORD, CT",77379
35380,"NEW ORLEANS-METAIRIE, LA",59217
35614,"NEW YORK-JERSEY CITY-WHITE PLAINS, NY-NJ",68006
35660,"NILES-BENTON HARBOR, MI",54751
35840,"NORTH PORT-SARASOTA-BRADENTON, FL",60626
35980,"NORWICH-NEW LONDON, CT",80425
36084,"OAKLAND-HAYWARD-BERKELEY, CA",88024
36100,"OCALA, FL",47614
36140,"OCEAN CITY, NJ",69978
36220,"ODESSA, TX",54395
36260,"OGDEN-CLEARFIELD, UT",66879
36420,"OKLAHOMA CITY, OK",58775
36500,"OLYMPIA-TUMWATER, WA",71833
36540,"OMAHA-COUNCIL BLUFFS, NE-IA",69538
36740,"ORLANDO-KISSIMMEE-SANFORD, FL",58474
36780,"OSHKOSH-NEENAH, WI",65646
36980,"OWENSBORO, KY",54406
37100,"OXNARD-THOUSAND OAKS-VENTURA, CA",84364
37340,"PALM BAY-MELBOURNE-TITUSVILLE, FL",60842
37460,"PANAMA CITY, FL",56277
37620,"PARKERSBURG-VIENNA, WV",51627
37860,"PENSACOLA-FERRY PASS-BRENT, FL",56758
37900,"PEORIA, IL",66038
37964,"PHILADELPHIA, PA",54139
38060,"PHOENIX-MESA-SCOTTSDALE, AZ",64408
38220,"PINE BLUFF, AR",45357
38300,"PITTSBURGH, PA",62376
38340,"PITTSFIELD, MA",64783
38540,"POCATELLO, ID",54650
38660,"PONCE, PR",18256
38860,"PORTLAND-SOUTH PORTLAND, ME",67971
38900,"PORTLAND-VANCOUVER-HILLSBORO, OR-WA",68924
38940,"PORT ST. LUCIE, FL",56832
39140,"PRESCOTT, AZ",53499
39300,"PROVIDENCE-WARWICK, RI-MA",70496
39340,"PROVO-OREM, UT",62738
39380,"PUEBLO, CO",50503,50600
39460,"PUNTA GORDA, FL",52533
39540,"RACINE, WI",65200
39580,"RALEIGH, NC",74783
39660,"RAPID CITY, SD",56970
39740,"READING, PA",63724
39820,"REDDING, CA",55456
39900,"RENO, NV",67350
40060,"RICHMOND, VA",71605
40140,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA",63176
40220,"ROANOKE, VA",60547
40340,"ROCHESTER, MN",74450
40380,"ROCHESTER, NY",64013
40420,"ROCKFORD, IL",61291
40484,"ROCKINGHAM COUNTY-STRAFFORD COUNTY, NH",85547
40580,"ROCKY MOUNT, NC",49612
40660,"ROME, GA",49310
40900,"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA",71816
40980,"SAGINAW, MI",53171
41060,"ST. CLOUD, MN",64993
41100,"ST. GEORGE, UT",54315
41140,"ST. JOSEPH, MO-KS",54339
41180,"ST. LOUIS, MO-IL",66798
41420,"SALEM, OR",56016
41500,"SALINAS, CA",63372
41540,"SALISBURY, MD-DE",60486
41620,"SALT LAKE CITY, UT",67016
41660,"SAN ANGELO, TX",53682
41700,"SAN ANTONIO-NEW BRAUNFELS, TX",58222
41740,"SAN DIEGO-CARLSBAD, CA",73560
41884,"SAN FRANCISCO-REDWOOD CITY-SOUTH SAN FRANCISCO, CA",93987
41900,"SAN GERMÁN, PR",18140
41940,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA",99794
41980,"SAN JUAN-CAROLINA-CAGUAS, PR",24810
42020,"SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE, CA",72054
42034,"SAN RAFAEL, CA",112911
42100,"SANTA CRUZ-WATSONVILLE, CA",80264
42140,"SANTA FE, NM",64041
42200,"SANTA MARIA-SANTA BARBARA, CA",69190
42220,"SANTA ROSA, CA",76715
42340,"SAVANNAH, GA",57354
42540,"SCRANTON--WILKES-BARRE--HAZLETON, PA",56045
42644,"SEATTLE-BELLEVUE-EVERETT, WA",83852
42680,"SEBASTIAN-VERO BEACH, FL",57477
42700,"SEBRING, FL",41955
43100,"SHEBOYGAN, WI",65301
43300,"SHERMAN-DENISON, TX",57623
43340,"SHREVEPORT-BOSSIER CITY, LA",52063
43420,"SIERRA VISTA-DOUGLAS, AZ",53077
43524,"SILVER SPRING-FREDERICK-ROCKVILLE, MD",107887
43580,"SIOUX CITY, IA-NE-SD",58510
43620,"SIOUX FALLS, SD",66496
43780,"SOUTH BEND-MISHAWAKA, IN-MI",57040
43900,"SPARTANBURG, SC",51848
44060,"SPOKANE-SPOKANE VALLEY, WA",58696
44100,"SPRINGFIELD, IL",66823
44140,"SPRINGFIELD, MA",65262
44180,"SPRINGFIELD, MO",52463
44220,"SPRINGFIELD, OH",53678
44300,"STATE COLLEGE, PA",65121
44420,"STAUNTON-WAYNESBORO, VA",57980
44700,"STOCKTON-LODI, CA",61292
44940,"SUMTER, SC",45460
45060,"SYRACUSE, NY",63453
45104,"TACOMA-LAKEWOOD, WA",68462
45220,"TALLAHASSEE, FL",61311
45300,"TAMPA-ST. PETERSBURG-CLEARWATER, FL",57333
45460,"TERRE HAUTE, IN",51224
45500,"TEXARKANA, TX-AR",50725
45540,"THE VILLAGES, FL",51268
45780,"TOLEDO, OH",58200
45820,"TOPEKA, KS",61110
45940,"TRENTON, NJ",88694
46060,"TUCSON, AZ",57377
46140,"TULSA, OK",58038
46220,"TUSCALOOSA, AL",54868
46340,"TYLER, TX",57225
46520,"URBAN HONOLULU, HI",81370
46540,"UTICA-ROME, NY",56800
46660,"VALDOSTA, GA",47027
46700,"VALLEJO-FAIRFIELD, CA",77321
47020,"VICTORIA, TX",56163
47220,"VINELAND-BRIDGETON, NJ",60642
47260,"VIRGINIA BEACH-NORFOLK-NEWPORT NEWS, VA-NC",67485
47300,"VISALIA-PORTERVILLE, CA",47126
47380,"WACO, TX",50689
47460,"WALLA WALLA, WA",55944
47580,"WARNER ROBINS, GA",62929
47664,"WARREN-TROY-FARMINGTON HILLS, MI",75314
47894,"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV",100486
47940,"WATERLOO-CEDAR FALLS, IA",60582
48060,"WATERTOWN-FORT DRUM, NY",51834
48140,"WAUSAU, WI",65566
48260,"WEIRTON-STEUBENVILLE, WV-OH",48367
48300,"WENATCHEE, WA",57045
48424,"WEST PALM BEACH-BOCA RATON-DELRAY BEACH, FL",64445
48540,"WHEELING, WV-OH",48620
48620,"WICHITA, KS",61402
48660,"WICHITA FALLS, TX",53417
48700,"WILLIAMSPORT, PA",52124
48864,"WILMINGTON, DE-MD-NJ",76834
48900,"WILMINGTON, NC",61556
49020,"WINCHESTER, VA-WV",61537
49180,"WINSTON-SALEM, NC",56529
49340,"WORCESTER, MA-CT",77128
49420,"YAKIMA, WA",48004
49620,"YORK-HANOVER, PA",67624
49660,"YOUNGSTOWN-WARREN-BOARDMAN, OH-PA",52933
49700,"YUBA CITY, CA",55370
49740,"YUMA, AZ",42718
99999,nonmetro portion of ALABAMA,43820
99999,nonmetro portion of ALASKA,68693
99999,nonmetro portion of ARIZONA,43391
99999,nonmetro portion of ARKANSAS,42175
99999,nonmetro portion of CALIFORNIA,55928
99999,nonmetro portion of COLORADO,57817
99999,nonmetro portion of CONNECTICUT,84890
99999,nonmetro portion of FLORIDA,46196
99999,nonmetro portion of GEORGIA,44940
99999,nonmetro portion of HAWAII,66247
99999,nonmetro portion of IDAHO,49523
99999,nonmetro portion of ILLINOIS,54499
99999,nonmetro portion of INDIANA,53037
99999,nonmetro portion of IOWA,56190
99999,nonmetro portion of KANSAS,52419
99999,nonmetro portion of KENTUCKY,43402
99999,nonmetro portion of LOUISIANA,43816
99999,nonmetro portion of MAINE,51782
99999,nonmetro portion of MARYLAND,63149
99999,nonmetro portion of MASSACHUSETTS,68821
99999,nonmetro portion of MICHIGAN,51187
99999,nonmetro portion of MINNESOTA,57683
99999,nonmetro portion of MISSISSIPPI,40980
99999,nonmetro portion of MISSOURI,45746
99999,nonmetro portion of MONTANA,54061
99999,nonmetro portion of NEBRASKA,54221
99999,nonmetro portion of NEVADA,64296
99999,nonmetro portion of NEW HAMPSHIRE,66238
99999,nonmetro portion of NEW MEXICO,46354
99999,nonmetro portion of NEW YORK,54386
99999,nonmetro portion of NORTH CAROLINA,46764
99999,nonmetro portion of NORTH DAKOTA,58592
99999,nonmetro portion of OHIO,52573
99999,nonmetro portion of OKLAHOMA,47749
99999,nonmetro portion of OREGON,50374
99999,nonmetro portion of PENNSYLVANIA,50163
99999,nonmetro portion of SOUTH CAROLINA,43494
99999,nonmetro portion of SOUTH DAKOTA,54734
99999,nonmetro portion of TENNESSEE,44386
99999,nonmetro portion of TEXAS,47817
99999,nonmetro portion of UTAH,57187
99999,nonmetro portion of VERMONT,60519
99999,nonmetro portion of VIRGINIA,48460
99999,nonmetro portion of WASHINGTON,54500
99999,nonmetro portion of WEST VIRGINIA,43503
99999,nonmetro portion of WISCONSIN,57005
99999,nonmetro portion of WYOMING,67040
99999,nonmetro portion of AMERICAN SAMOA,24706
99999,nonmetro portion of GUAM,50607
99999,nonmetro portion of NORTHERN MARIANA ISLANDS,22455
99999,nonmetro portion of PUERTO RICO,16624
99999,nonmetro portion of VIRGIN ISLANDS,45058
