FIPSStateCode|FIPSCountyCode|CountyName|State|CBSANumber|One-UnitLimit|Two-UnitLimit|Three-UnitLimit|Four-UnitLimit
01|001|AUTAUGA COUNTY|AL|33860|766550|981500|1186350|1474400
01|003|BALDWIN COUNTY|AL|19300|766550|981500|1186350|1474400
01|005|BARBOUR COUNTY|AL|21640|766550|981500|1186350|1474400
01|007|BIBB COUNTY|AL|13820|766550|981500|1186350|1474400
01|009|BLOUNT COUNTY|AL|13820|766550|981500|1186350|1474400
01|011|BULLOCK COUNTY|AL||766550|981500|1186350|1474400
01|013|BUTLER COUNTY|AL||766550|981500|1186350|1474400
01|015|CALHOUN COUNTY|AL|11500|766550|981500|1186350|1474400
01|017|CHAMBERS COUNTY|AL|29300|766550|981500|1186350|1474400
01|019|CHEROKEE COUNTY|AL||766550|981500|1186350|1474400
01|021|CHILTON COUNTY|AL|13820|766550|981500|1186350|1474400
01|023|CHOCTAW COUNTY|AL||766550|981500|1186350|1474400
01|025|CLARKE COUNTY|AL||766550|981500|1186350|1474400
01|027|CLAY COUNTY|AL||766550|981500|1186350|1474400
01|029|CLEBURNE COUNTY|AL||766550|981500|1186350|1474400
01|031|COFFEE COUNTY|AL|21460|766550|981500|1186350|1474400
01|033|COLBERT COUNTY|AL|22520|766550|981500|1186350|1474400
01|035|CONECUH COUNTY|AL||766550|981500|1186350|1474400
01|037|COOSA COUNTY|AL|10760|766550|981500|1186350|1474400
01|039|COVINGTON COUNTY|AL||766550|981500|1186350|1474400
01|041|CRENSHAW COUNTY|AL||766550|981500|1186350|1474400
01|043|CULLMAN COUNTY|AL|18980|766550|981500|1186350|1474400
01|045|DALE COUNTY|AL|37120|766550|981500|1186350|1474400
01|047|DALLAS COUNTY|AL|42820|766550|981500|1186350|1474400
01|049|DEKALB COUNTY|AL|22840|766550|981500|1186350|1474400
01|051|ELMORE COUNTY|AL|33860|766550|981500|1186350|1474400
01|053|ESCAMBIA COUNTY|AL|12120|766550|981500|1186350|1474400
01|055|ETOWAH COUNTY|AL|23460|766550|981500|1186350|1474400
01|057|FAYETTE COUNTY|AL||766550|981500|1186350|1474400
01|059|FRANKLIN COUNTY|AL||766550|981500|1186350|1474400
01|061|GENEVA COUNTY|AL|20020|766550|981500|1186350|1474400
01|063|GREENE COUNTY|AL|46220|766550|981500|1186350|1474400
01|065|HALE COUNTY|AL|46220|766550|981500|1186350|1474400
01|067|HENRY COUNTY|AL|20020|766550|981500|1186350|1474400
01|069|HOUSTON COUNTY|AL|20020|766550|981500|1186350|1474400
01|071|JACKSON COUNTY|AL|42460|766550|981500|1186350|1474400
01|073|JEFFERSON COUNTY|AL|13820|766550|981500|1186350|1474400
01|075|LAMAR COUNTY|AL||766550|981500|1186350|1474400
01|077|LAUDERDALE COUNTY|AL|22520|766550|981500|1186350|1474400
01|079|LAWRENCE COUNTY|AL|19460|766550|981500|1186350|1474400
