FIPS State Code|FIPS County Code|County Name|State|CBSA Number|One-Unit Limit|Two-Unit Limit|Three-Unit Limit|Four-Unit Limit
01|001|AUTAUGACOUNTY|AL|33860|510400|653550|789950|981700
01|003|BALDWINCOUNTY|AL|19300|510400|653550|789950|981700
01|005|BARBOURCOUNTY|AL|21640|510400|653550|789950|981700
01|007|BIBBCOUNTY|AL|13820|510400|653550|789950|981700
01|009|BLOUNTCOUNTY|AL|13820|510400|653550|789950|981700
01|011|BULLOCKCOUNTY|AL||510400|653550|789950|981700
01|013|BUTLERCOUNTY|AL||510400|653550|789950|981700
01|015|CALHOUNCOUNTY|AL|11500|510400|653550|789950|981700
01|017|CHAMBERSCOUNTY|AL|29300|510400|653550|789950|981700
01|019|CHEROKEECOUNTY|AL||510400|653550|789950|981700
01|021|CHILTONCOUNTY|AL|13820|510400|653550|789950|981700
01|023|CHOCTAWCOUNTY|AL||510400|653550|789950|981700
01|025|CLARKECOUNTY|AL||510400|653550|789950|981700
01|027|CLAYCOUNTY|AL||510400|653550|789950|981700
01|029|CLEBURNECOUNTY|AL||510400|653550|789950|981700
01|031|COFFEECOUNTY|AL|21460|510400|653550|789950|981700
01|033|COLBERTCOUNTY|AL|22520|510400|653550|789950|981700
01|035|CONECUHCOUNTY|AL||510400|653550|789950|981700
01|037|COOSACOUNTY|AL|10760|510400|653550|789950|981700
01|039|COVINGTONCOUNTY|AL||510400|653550|789950|981700
01|041|CRENSHAWCOUNTY|AL||510400|653550|789950|981700
01|043|CULLMANCOUNTY|AL|18980|510400|653550|789950|981700
01|045|DALECOUNTY|AL|37120|510400|653550|789950|981700
01|047|DALLASCOUNTY|AL|42820|510400|653550|789950|981700
01|049|DEKALBCOUNTY|AL|22840|510400|653550|789950|981700
01|051|ELMORECOUNTY|AL|33860|510400|653550|789950|981700
01|053|ESCAMBIACOUNTY|AL|12120|510400|653550|789950|981700
01|055|ETOWAHCOUNTY|AL|23460|510400|653550|789950|981700
01|057|FAYETTECOUNTY|AL||510400|653550|789950|981700
01|059|FRANKLINCOUNTY|AL||510400|653550|789950|981700
01|061|GENEVACOUNTY|AL|20020|510400|653550|789950|981700
01|063|GREENECOUNTY|AL|46220|510400|653550|789950|981700
01|065|HALECOUNTY|AL|46220|510400|653550|789950|981700
01|067|HENRYCOUNTY|AL|20020|510400|653550|789950|981700
01|069|HOUSTONCOUNTY|AL|20020|510400|653550|789950|981700
01|071|JACKSONCOUNTY|AL|42460|510400|653550|789950|981700
01|073|JEFFERSONCOUNTY|AL|13820|510400|653550|789950|981700
01|075|LAMARCOUNTY|AL||510400|653550|789950|981700
01|077|LAUDERDALECOUNTY|AL|22520|510400|653550|789950|981700
01|079|LAWRENCECOUNTY|AL|19460|510400|653550|789950|981700
01|081|LEECOUNTY|AL|12220|510400|653550|789950|981700
01|083|LIMESTONECOUNTY|AL|26620|510400|653550|789950|981700
01|085|LOWNDESCOUNTY|AL|33860|510400|653550|789950|981700
01|087|MACONCOUNTY|AL||510400|653550|789950|981700
01|089|MADISONCOUNTY|AL|26620|510400|653550|789950|981700
01|091|MARENGOCOUNTY|AL||510400|653550|789950|981700
01|093|MARIONCOUNTY|AL||510400|653550|789950|981700
01|095|MARSHALLCOUNTY|AL|10700|510400|653550|789950|981700
01|097|MOBILECOUNTY|AL|33660|510400|653550|789950|981700
01|099|MONROECOUNTY|AL||510400|653550|789950|981700
01|101|MONTGOMERYCOUNTY|AL|33860|510400|653550|789950|981700
01|103|MORGANCOUNTY|AL|19460|510400|653550|789950|981700
01|105|PERRYCOUNTY|AL||510400|653550|789950|981700
01|107|PICKENSCOUNTY|AL|46220|510400|653550|789950|981700
01|109|PIKECOUNTY|AL|45980|510400|653550|789950|981700
01|111|RANDOLPHCOUNTY|AL||510400|653550|789950|981700
