FIPSStateCode|FIPSCountyCode|CountyName|State|CBSANumber|One-UnitLimit|Two-UnitLimit|Three-UnitLimit|Four-UnitLimit
01|001|AUTAUGACOUNTY|AL|33860|832750|1066250|1288800|1601750
01|003|BALDWINCOUNTY|AL|19300|832750|1066250|1288800|1601750
01|005|BARBOURCOUNTY|AL|21640|832750|1066250|1288800|1601750
01|007|BIBBCOUNTY|AL|13820|832750|1066250|1288800|1601750
01|009|BLOUNTCOUNTY|AL|13820|832750|1066250|1288800|1601750
01|011|BULLOCKCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|013|BUTLERCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|015|CALHOUNCOUNTY|AL|11500|832750|1066250|1288800|1601750
01|017|CHAMBERSCOUNTY|AL|29300|832750|1066250|1288800|1601750
01|019|CHEROKEECOUNTY|AL|99999|832750|1066250|1288800|1601750
01|021|CHILTONCOUNTY|AL|13820|832750|1066250|1288800|1601750
01|023|CHOCTAWCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|025|CLARKECOUNTY|AL|99999|832750|1066250|1288800|1601750
01|027|CLAYCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|029|CLEBURNECOUNTY|AL|99999|832750|1066250|1288800|1601750
01|031|COFFEECOUNTY|AL|21460|832750|1066250|1288800|1601750
01|033|COLBERTCOUNTY|AL|22520|832750|1066250|1288800|1601750
01|035|CONECUHCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|037|COOSACOUNTY|AL|45180|832750|1066250|1288800|1601750
01|039|COVINGTONCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|041|CRENSHAWCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|043|CULLMANCOUNTY|AL|18980|832750|1066250|1288800|1601750
01|045|DALECOUNTY|AL|37120|832750|1066250|1288800|1601750
01|047|DALLASCOUNTY|AL|42820|832750|1066250|1288800|1601750
01|049|DEKALBCOUNTY|AL|22840|832750|1066250|1288800|1601750
01|051|ELMORECOUNTY|AL|33860|832750|1066250|1288800|1601750
01|053|ESCAMBIACOUNTY|AL|99999|832750|1066250|1288800|1601750
01|055|ETOWAHCOUNTY|AL|23460|832750|1066250|1288800|1601750
01|057|FAYETTECOUNTY|AL|99999|832750|1066250|1288800|1601750
01|059|FRANKLINCOUNTY|AL|40770|832750|1066250|1288800|1601750
01|061|GENEVACOUNTY|AL|20020|832750|1066250|1288800|1601750
01|063|GREENECOUNTY|AL|46220|832750|1066250|1288800|1601750
01|065|HALECOUNTY|AL|46220|832750|1066250|1288800|1601750
01|067|HENRYCOUNTY|AL|20020|832750|1066250|1288800|1601750
01|069|HOUSTONCOUNTY|AL|20020|832750|1066250|1288800|1601750
01|071|JACKSONCOUNTY|AL|42460|832750|1066250|1288800|1601750
01|073|JEFFERSONCOUNTY|AL|13820|832750|1066250|1288800|1601750
01|075|LAMARCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|077|LAUDERDALECOUNTY|AL|22520|832750|1066250|1288800|1601750
01|079|LAWRENCECOUNTY|AL|19460|832750|1066250|1288800|1601750
01|081|LEECOUNTY|AL|12220|832750|1066250|1288800|1601750
01|083|LIMESTONECOUNTY|AL|26620|832750|1066250|1288800|1601750
01|085|LOWNDESCOUNTY|AL|33860|832750|1066250|1288800|1601750
01|087|MACONCOUNTY|AL|12220|832750|1066250|1288800|1601750
01|089|MADISONCOUNTY|AL|26620|832750|1066250|1288800|1601750
01|091|MARENGOCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|093|MARIONCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|095|MARSHALLCOUNTY|AL|10700|832750|1066250|1288800|1601750
01|097|MOBILECOUNTY|AL|33660|832750|1066250|1288800|1601750
01|099|MONROECOUNTY|AL|99999|832750|1066250|1288800|1601750
01|101|MONTGOMERYCOUNTY|AL|33860|832750|1066250|1288800|1601750
01|103|MORGANCOUNTY|AL|19460|832750|1066250|1288800|1601750
01|105|PERRYCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|107|PICKENSCOUNTY|AL|46220|832750|1066250|1288800|1601750
01|109|PIKECOUNTY|AL|45980|832750|1066250|1288800|1601750
01|111|RANDOLPHCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|113|RUSSELLCOUNTY|AL|17980|832750|1066250|1288800|1601750
01|115|ST.CLAIRCOUNTY|AL|13820|832750|1066250|1288800|1601750
01|117|SHELBYCOUNTY|AL|13820|832750|1066250|1288800|1601750
01|119|SUMTERCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|121|TALLADEGACOUNTY|AL|45180|832750|1066250|1288800|1601750
01|123|TALLAPOOSACOUNTY|AL|10760|832750|1066250|1288800|1601750
01|125|TUSCALOOSACOUNTY|AL|46220|832750|1066250|1288800|1601750
01|127|WALKERCOUNTY|AL|13820|832750|1066250|1288800|1601750
01|129|WASHINGTONCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|131|WILCOXCOUNTY|AL|99999|832750|1066250|1288800|1601750
01|133|WINSTONCOUNTY|AL|99999|832750|1066250|1288800|1601750
02|013|ALEUTIANSEASTBOROUGH|AK|99999|1249125|1599375|1933200|2402625
02|016|ALEUTIANSWESTCENSUSAREA|AK|99999|1249125|1599375|1933200|2402625
02|020|ANCHORAGEMUNICIPALITY|AK|11260|1249125|1599375|1933200|2402625
02|050|BETHELCENSUSAREA|AK|99999|1249125|1599375|1933200|2402625
02|060|BRISTOLBAYBOROUGH|AK|99999|1249125|1599375|1933200|2402625
02|063|CHUGACHCENSUSAREA|AK|99999|1249125|1599375|1933200|2402625
02|066|COPPERRIVERCENSUSAREA|AK|99999|1249125|1599375|1933200|2402625
