FIPSStateCode|FIPSCountyCode|CountyName|State|CBSANumber|One-UnitLimit|Two-UnitLimit|Three-UnitLimit|Four-UnitLimit
01|001|AUTAUGACOUNTY|AL|33860|806500|1032650|1248150|1551250
01|003|BALDWINCOUNTY|AL|19300|806500|1032650|1248150|1551250
01|005|BARBOURCOUNTY|AL|21640|806500|1032650|1248150|1551250
01|007|BIBBCOUNTY|AL|13820|806500|1032650|1248150|1551250
01|009|BLOUNTCOUNTY|AL|13820|806500|1032650|1248150|1551250
01|011|BULLOCKCOUNTY|AL||806500|1032650|1248150|1551250
01|013|BUTLERCOUNTY|AL||806500|1032650|1248150|1551250
01|015|CALHOUNCOUNTY|AL|11500|806500|1032650|1248150|1551250
01|017|CHAMBERSCOUNTY|AL|29300|806500|1032650|1248150|1551250
01|019|CHEROKEECOUNTY|AL||806500|1032650|1248150|1551250
01|021|CHILTONCOUNTY|AL|13820|806500|1032650|1248150|1551250
01|023|CHOCTAWCOUNTY|AL||806500|1032650|1248150|1551250
01|025|CLARKECOUNTY|AL||806500|1032650|1248150|1551250
01|027|CLAYCOUNTY|AL||806500|1032650|1248150|1551250
01|029|CLEBURNECOUNTY|AL||806500|1032650|1248150|1551250
01|031|COFFEECOUNTY|AL|21460|806500|1032650|1248150|1551250
01|033|COLBERTCOUNTY|AL|22520|806500|1032650|1248150|1551250
01|035|CONECUHCOUNTY|AL||806500|1032650|1248150|1551250
01|037|COOSACOUNTY|AL|10760|806500|1032650|1248150|1551250
01|039|COVINGTONCOUNTY|AL||806500|1032650|1248150|1551250
01|041|CRENSHAWCOUNTY|AL||806500|1032650|1248150|1551250
01|043|CULLMANCOUNTY|AL|18980|806500|1032650|1248150|1551250
01|045|DALECOUNTY|AL|37120|806500|1032650|1248150|1551250
01|047|DALLASCOUNTY|AL|42820|806500|1032650|1248150|1551250
01|049|DEKALBCOUNTY|AL|22840|806500|1032650|1248150|1551250
01|051|ELMORECOUNTY|AL|33860|806500|1032650|1248150|1551250
01|053|ESCAMBIACOUNTY|AL|12120|806500|1032650|1248150|1551250
01|055|ETOWAHCOUNTY|AL|23460|806500|1032650|1248150|1551250
01|057|FAYETTECOUNTY|AL||806500|1032650|1248150|1551250
01|059|FRANKLINCOUNTY|AL||806500|1032650|1248150|1551250
01|061|GENEVACOUNTY|AL|20020|806500|1032650|1248150|1551250
