FIPSStateCode|FIPSCountyCode|CountyName|State|CBSANumber|One-UnitLimit|Two-UnitLimit|Three-UnitLimit|Four-UnitLimit
01|001|AUTAUGACOUNTY|AL|33860|548250|702000|848500|1054500
01|003|BALDWINCOUNTY|AL|19300|548250|702000|848500|1054500
01|005|BARBOURCOUNTY|AL|21640|548250|702000|848500|1054500
01|007|BIBBCOUNTY|AL|13820|548250|702000|848500|1054500
01|009|BLOUNTCOUNTY|AL|13820|548250|702000|848500|1054500
01|011|BULLOCKCOUNTY|AL||548250|702000|848500|1054500
01|013|BUTLERCOUNTY|AL||548250|702000|848500|1054500
01|015|CALHOUNCOUNTY|AL|11500|548250|702000|848500|1054500
01|017|CHAMBERSCOUNTY|AL|29300|548250|702000|848500|1054500
01|019|CHEROKEECOUNTY|AL||548250|702000|848500|1054500
01|021|CHILTONCOUNTY|AL|13820|548250|702000|848500|1054500
01|023|CHOCTAWCOUNTY|AL||548250|702000|848500|1054500
01|025|CLARKECOUNTY|AL||548250|702000|848500|1054500
01|027|CLAYCOUNTY|AL||548250|702000|848500|1054500
01|029|CLEBURNECOUNTY|AL||548250|702000|848500|1054500
01|031|COFFEECOUNTY|AL|21460|548250|702000|848500|1054500
01|033|COLBERTCOUNTY|AL|22520|548250|702000|848500|1054500
01|035|CONECUHCOUNTY|AL||548250|702000|848500|1054500
01|037|COOSACOUNTY|AL|10760|548250|702000|848500|1054500
01|039|COVINGTONCOUNTY|AL||548250|702000|848500|1054500
01|041|CRENSHAWCOUNTY|AL||548250|702000|848500|1054500
01|043|CULLMANCOUNTY|AL|18980|548250|702000|848500|1054500
01|045|DALECOUNTY|AL|37120|548250|702000|848500|1054500
01|047|DALLASCOUNTY|AL|42820|548250|702000|848500|1054500
01|049|DEKALBCOUNTY|AL|22840|548250|702000|848500|1054500
01|051|ELMORECOUNTY|AL|33860|548250|702000|848500|1054500
01|053|ESCAMBIACOUNTY|AL|12120|548250|702000|848500|1054500
01|055|ETOWAHCOUNTY|AL|23460|548250|702000|848500|1054500
01|057|FAYETTECOUNTY|AL||548250|702000|848500|1054500
01|059|FRANKLINCOUNTY|AL||548250|702000|848500|1054500
01|061|GENEVACOUNTY|AL|20020|548250|702000|848500|1054500
01|063|GREENECOUNTY|AL|46220|548250|702000|848500|1054500
01|065|HALECOUNTY|AL|46220|548250|702000|848500|1054500
01|067|HENRYCOUNTY|AL|20020|548250|702000|848500|1054500
01|069|HOUSTONCOUNTY|AL|20020|548250|702000|848500|1054500
01|071|JACKSONCOUNTY|AL|42460|548250|702000|848500|1054500
01|073|JEFFERSONCOUNTY|AL|13820|548250|702000|848500|1054500
01|075|LAMARCOUNTY|AL||548250|702000|848500|1054500
01|077|LAUDERDALECOUNTY|AL|22520|548250|702000|848500|1054500
01|079|LAWRENCECOUNTY|AL|19460|548250|702000|848500|1054500
01|081|LEECOUNTY|AL|12220|548250|702000|848500|1054500
01|083|LIMESTONECOUNTY|AL|26620|548250|702000|848500|1054500
01|085|LOWNDESCOUNTY|AL|33860|548250|702000|848500|1054500
01|087|MACONCOUNTY|AL||548250|702000|848500|1054500
01|089|MADISONCOUNTY|AL|26620|548250|702000|848500|1054500
01|091|MARENGOCOUNTY|AL||548250|702000|848500|1054500
01|093|MARIONCOUNTY|AL||548250|702000|848500|1054500
01|095|MARSHALLCOUNTY|AL|10700|548250|702000|848500|1054500
01|097|MOBILECOUNTY|AL|33660|548250|702000|848500|1054500
01|099|MONROECOUNTY|AL||548250|702000|848500|1054500
01|101|MONTGOMERYCOUNTY|AL|33860|548250|702000|848500|1054500
01|103|MORGANCOUNTY|AL|19460|548250|702000|848500|1054500
01|105|PERRYCOUNTY|AL||548250|702000|848500|1054500
01|107|PICKENSCOUNTY|AL|46220|548250|702000|848500|1054500
01|109|PIKECOUNTY|AL|45980|548250|702000|848500|1054500
01|111|RANDOLPHCOUNTY|AL||548250|702000|848500|1054500
01|113|RUSSELLCOUNTY|AL|17980|548250|702000|848500|1054500
01|115|ST.CLAIRCOUNTY|AL|13820|548250|702000|848500|1054500
01|117|SHELBYCOUNTY|AL|13820|548250|702000|848500|1054500
01|119|SUMTERCOUNTY|AL||548250|702000|848500|1054500
01|121|TALLADEGACOUNTY|AL|45180|548250|702000|848500|1054500
01|123|TALLAPOOSACOUNTY|AL|10760|548250|702000|848500|1054500
01|125|TUSCALOOSACOUNTY|AL|46220|548250|702000|848500|1054500
01|127|WALKERCOUNTY|AL|27530|548250|702000|848500|1054500
01|129|WASHINGTONCOUNTY|AL|33660|548250|702000|848500|1054500
01|131|WILCOXCOUNTY|AL||548250|702000|848500|1054500
01|133|WINSTONCOUNTY|AL||548250|702000|848500|1054500
02|013|ALEUTIANSEASTBOROUGH|AK||822375|1053000|1272750|1581750
02|016|ALEUTIANSWESTCENSUSAREA|AK||822375|1053000|1272750|1581750
02|020|ANCHORAGEMUNICIPALITY|AK|11260|822375|1053000|1272750|1581750
02|050|BETHELCENSUSAREA|AK||822375|1053000|1272750|1581750
02|060|BRISTOLBAYBOROUGH|AK||822375|1053000|1272750|1581750
02|068|DENALIBOROUGH|AK||822375|1053000|1272750|1581750
02|070|DILLINGHAMCENSUSAREA|AK||822375|1053000|1272750|1581750
02|090|FAIRBANKSNORTHSTARBOROUGH|AK|21820|822375|1053000|1272750|1581750
02|100|HAINESBOROUGH|AK||822375|1053000|1272750|1581750
02|105|HOONAH-ANGOONCENSUSAREA|AK||822375|1053000|1272750|1581750
02|110|JUNEAUCITYANDBOROUGH|AK|27940|822375|1053000|1272750|1581750
02|122|KENAIPENINSULABOROUGH|AK||822375|1053000|1272750|1581750
02|130|KETCHIKANGATEWAYBOROUGH|AK|28540|822375|1053000|1272750|1581750
02|150|KODIAKISLANDBOROUGH|AK||822375|1053000|1272750|1581750
02|158|KUSILVAKCENSUSAREA|AK||822375|1053000|1272750|1581750
02|164|LAKEANDPENINSULABOROUGH|AK||822375|1053000|1272750|1581750
02|170|MATANUSKA-SUSITNABOROUGH|AK|11260|822375|1053000|1272750|1581750
02|180|NOMECENSUSAREA|AK||822375|1053000|1272750|1581750
02|185|NORTHSLOPEBOROUGH|AK||822375|1053000|1272750|1581750
02|188|NORTHWESTARCTICBOROUGH|AK||822375|1053000|1272750|1581750
02|195|PETERSBURGCENSUSAREA|AK||822375|1053000|1272750|1581750
02|198|PRINCEOFWALES-HYDERCENSUSAREA|AK||822375|1053000|1272750|1581750
02|220|SITKACITYANDBOROUGH|AK||822375|1053000|1272750|1581750
02|230|SKAGWAYMUNICIPALITY|AK||822375|1053000|1272750|1581750
02|240|SOUTHEASTFAIRBANKSCENSUSAREA|AK||822375|1053000|1272750|1581750
02|261|VALDEZ-CORDOVACENSUSAREA|AK||822375|1053000|1272750|1581750
02|275|WRANGELLCITYANDBOROUGH|AK||822375|1053000|1272750|1581750
02|282|YAKUTATCITYANDBOROUGH|AK||822375|1053000|1272750|1581750
02|290|YUKON-KOYUKUKCENSUSAREA|AK||822375|1053000|1272750|1581750
04|001|APACHECOUNTY|AZ||548250|702000|848500|1054500
04|003|COCHISECOUNTY|AZ|43420|548250|702000|848500|1054500
04|005|COCONINOCOUNTY|AZ|22380|548250|702000|848500|1054500
04|007|GILACOUNTY|AZ|37740|548250|702000|848500|1054500
